signal,angle,auroc_help[qwen3_8b],auroc_help[qwen3_14b],auroc_help[qwen35_9b],auroc_help[qwen25_7b],auroc_help[glm4_9b],auroc_help[phi35_mini],auroc_help[mistral_7b],spear_lift[qwen3_8b],spear_lift[qwen3_14b],spear_lift[qwen35_9b],spear_lift[qwen25_7b],spear_lift[glm4_9b],spear_lift[phi35_mini],spear_lift[mistral_7b],same_direction,strong_all_ge_0.07,mean_|auroc-.5|,min_|auroc-.5|
ll_entropy_w_l::mean,confidence,0.428,0.464,0.508,0.393,0.485,0.293,0.664,0.231,-0.230,-0.085,0.109,-0.169,-0.047,-0.135,0,0,0.087,0.008
ll_kl_wb_l::max,divergence,0.348,0.460,0.460,0.492,0.616,0.638,0.529,0.063,0.347,-0.041,0.069,0.162,-0.093,-0.045,0,0,0.075,0.008
js_w0,divergence,0.451,0.647,0.468,0.462,0.454,0.643,0.493,0.069,0.216,-0.059,-0.201,-0.256,-0.015,0.070,0,0,0.066,0.007
mem_dropout_conf_std,stability,0.476,0.556,0.560,0.400,0.470,0.507,0.459,-0.066,0.431,0.021,-0.053,-0.007,0.033,0.116,0,0,0.045,0.007
tv_w0,divergence,0.458,0.653,0.467,0.456,0.452,0.633,0.494,0.041,0.220,-0.018,-0.204,-0.253,0.010,0.075,0,0,0.066,0.006
ll_entropy_w_l::slope,confidence,0.323,0.407,0.494,0.324,0.516,0.423,0.511,0.240,-0.209,-0.085,0.079,-0.090,0.115,0.108,0,0,0.080,0.006
mem_eff_rank,structure,0.512,0.441,0.559,0.506,0.492,0.722,0.455,0.171,-0.282,-0.166,0.127,-0.134,-0.006,0.099,0,0,0.059,0.006
mem_influence_kl,divergence,0.437,0.544,0.508,0.506,0.542,0.699,0.474,0.143,0.278,-0.064,-0.172,-0.065,-0.076,0.070,0,0,0.055,0.006
ll_argmax_agree_final_l::max,agreement,0.543,0.510,0.512,0.522,0.495,0.520,0.468,-0.122,0.051,-0.011,0.078,0.046,0.028,-0.009,0,0,0.021,0.005
ll_conf_w_l::mean,confidence,0.566,0.554,0.549,0.577,0.495,0.680,0.426,-0.290,0.302,0.042,-0.162,0.146,0.051,-0.007,0,0,0.072,0.005
span_js_w0,divergence,0.553,0.747,0.582,0.522,0.530,0.495,0.484,0.042,0.065,-0.233,-0.213,0.083,0.024,0.016,0,0,0.065,0.005
drift_l::mean,geometry,0.399,0.390,0.496,0.413,0.559,0.619,0.641,0.216,-0.267,-0.136,0.000,0.078,0.121,-0.100,0,0,0.089,0.004
span_entropy_last,confidence,0.504,0.576,0.454,0.484,0.534,0.377,0.673,0.205,0.338,-0.074,0.057,0.149,0.018,-0.028,0,0,0.067,0.004
margin_w,confidence,0.549,0.467,0.612,0.522,0.504,0.447,0.578,-0.256,-0.392,-0.063,0.027,0.064,0.173,-0.199,0,0,0.050,0.004
span_entropy_mean,confidence,0.509,0.609,0.504,0.456,0.545,0.355,0.605,0.140,0.161,-0.046,0.034,0.134,0.026,0.038,0,0,0.066,0.004
entropy_w,confidence,0.363,0.484,0.392,0.411,0.503,0.342,0.436,0.264,0.187,0.109,-0.080,-0.085,0.076,0.239,0,0,0.082,0.003
q_chunk_max_cos,geometry,0.467,0.573,0.459,0.503,0.475,0.471,0.411,0.162,0.105,0.136,-0.060,-0.219,-0.323,-0.106,0,0,0.042,0.003
ll_entropy_w_l::late,confidence,0.325,0.405,0.496,0.326,0.503,0.335,0.632,0.279,-0.187,-0.086,0.058,-0.132,0.044,-0.052,0,0,0.107,0.003
mem_influence_argmax_change,agreement,0.513,0.682,0.489,0.467,0.411,0.497,0.397,0.181,0.085,0.106,-0.199,-0.292,-0.015,0.352,0,0,0.062,0.003
