method,dataset,config,relation,n,no_ctx,compressed,fallback_full,best,cost_comp,cost_full
cartridge,squad_v2,s1500_lr0.0001_K128,cross_task_cross_domain,96,0.26,0.219,0.146,0.24,216,1112
cartridge,squad_v2,s1500_lr0.0001_K64,overall,384,0.172,0.158,0.233,0.275,112,766
cartridge,squad_v2,s1500_lr0.0001_K64,in_task,96,0.134,0.127,0.367,0.37,93,207
cartridge,squad_v2,s1500_lr0.0001_K64,cross_task_in_domain,192,0.148,0.153,0.209,0.25,102,873
cartridge,squad_v2,s1500_lr0.0001_K64,cross_task_cross_domain,96,0.26,0.198,0.146,0.229,152,1112
cartridge,squad_v2,s1500_lr0.0003_K128,overall,384,0.172,0.147,0.233,0.273,176,766
cartridge,squad_v2,s1500_lr0.0003_K128,in_task,96,0.134,0.112,0.367,0.373,157,207
cartridge,squad_v2,s1500_lr0.0003_K128,cross_task_in_domain,192,0.148,0.139,0.209,0.245,166,873
cartridge,squad_v2,s1500_lr0.0003_K128,cross_task_cross_domain,96,0.26,0.198,0.146,0.229,216,1112
cartridge,squad_v2,s1500_lr0.0003_K64,overall,384,0.173,0.155,0.232,0.276,112,766
cartridge,squad_v2,s1500_lr0.0003_K64,in_task,96,0.132,0.112,0.367,0.371,93,207
cartridge,squad_v2,s1500_lr0.0003_K64,cross_task_in_domain,192,0.149,0.139,0.208,0.242,102,873
cartridge,squad_v2,s1500_lr0.0003_K64,cross_task_cross_domain,96,0.26,0.229,0.146,0.25,152,1112
cartridge,squad_v2,s600_lr0.0001_K128,overall,384,0.173,0.148,0.232,0.266,176,766
cartridge,squad_v2,s600_lr0.0001_K128,in_task,96,0.132,0.125,0.367,0.371,157,207
cartridge,squad_v2,s600_lr0.0001_K128,cross_task_in_domain,192,0.149,0.135,0.208,0.238,166,873
cartridge,squad_v2,s600_lr0.0001_K128,cross_task_cross_domain,96,0.26,0.198,0.146,0.219,216,1112
cartridge,squad_v2,s600_lr0.0001_K64,overall,384,0.172,0.161,0.233,0.278,112,766
cartridge,squad_v2,s600_lr0.0001_K64,in_task,96,0.134,0.127,0.367,0.372,93,207
cartridge,squad_v2,s600_lr0.0001_K64,cross_task_in_domain,192,0.148,0.154,0.209,0.251,102,873
cartridge,squad_v2,s600_lr0.0001_K64,cross_task_cross_domain,96,0.26,0.208,0.146,0.24,152,1112
cartridge,squad_v2,s600_lr0.0003_K128,overall,384,0.172,0.156,0.233,0.271,176,766
cartridge,squad_v2,s600_lr0.0003_K128,in_task,96,0.134,0.132,0.367,0.378,157,207
cartridge,squad_v2,s600_lr0.0003_K128,cross_task_in_domain,192,0.148,0.146,0.209,0.244,166,873
cartridge,squad_v2,s600_lr0.0003_K128,cross_task_cross_domain,96,0.26,0.198,0.146,0.219,216,1112
cartridge,squad_v2,s600_lr0.0003_K64,overall,384,0.172,0.166,0.233,0.277,112,766
cartridge,squad_v2,s600_lr0.0003_K64,in_task,96,0.134,0.136,0.367,0.378,93,207
cartridge,squad_v2,s600_lr0.0003_K64,cross_task_in_domain,192,0.148,0.15,0.209,0.245,102,873
cartridge,squad_v2,s600_lr0.0003_K64,cross_task_cross_domain,96,0.26,0.229,0.146,0.24,152,1112
cartridge,trivia_qa,s1500_lr0.0001_K128,overall,384,0.172,0.157,0.233,0.27,176,766
cartridge,trivia_qa,s1500_lr0.0001_K128,in_task,96,0.177,0.198,0.218,0.265,166,1017
cartridge,trivia_qa,s1500_lr0.0001_K128,cross_task_in_domain,192,0.126,0.115,0.284,0.304,162,468
cartridge,trivia_qa,s1500_lr0.0001_K128,cross_task_cross_domain,96,0.26,0.198,0.146,0.208,216,1112
cartridge,trivia_qa,s1500_lr0.0001_K64,overall,384,0.172,0.166,0.233,0.274,112,766
cartridge,trivia_qa,s1500_lr0.0001_K64,in_task,96,0.177,0.205,0.218,0.254,102,1017
cartridge,trivia_qa,s1500_lr0.0001_K64,cross_task_in_domain,192,0.126,0.125,0.284,0.307,98,468
cartridge,trivia_qa,s1500_lr0.0001_K64,cross_task_cross_domain,96,0.26,0.208,0.146,0.229,152,1112
cartridge,trivia_qa,s1500_lr0.0003_K128,overall,384,0.173,0.166,0.232,0.278,176,766
cartridge,trivia_qa,s1500_lr0.0003_K128,in_task,96,0.179,0.186,0.216,0.244,166,1017
cartridge,trivia_qa,s1500_lr0.0003_K128,cross_task_in_domain,192,0.125,0.129,0.283,0.309,162,468
cartridge,trivia_qa,s1500_lr0.0003_K128,cross_task_cross_domain,96,0.26,0.219,0.146,0.25,216,1112
cartridge,trivia_qa,s1500_lr0.0003_K64,overall,384,0.172,0.153,0.233,0.271,112,766
cartridge,trivia_qa,s1500_lr0.0003_K64,in_task,96,0.177,0.175,0.218,0.251,102,1017
cartridge,trivia_qa,s1500_lr0.0003_K64,cross_task_in_domain,192,0.126,0.119,0.284,0.303,98,468
cartridge,trivia_qa,s1500_lr0.0003_K64,cross_task_cross_domain,96,0.26,0.198,0.146,0.229,152,1112
cartridge,trivia_qa,s600_lr0.0001_K128,overall,384,0.172,0.157,0.233,0.273,176,766
cartridge,trivia_qa,s600_lr0.0001_K128,in_task,96,0.177,0.191,0.218,0.257,166,1017
cartridge,trivia_qa,s600_lr0.0001_K128,cross_task_in_domain,192,0.126,0.114,0.284,0.303,162,468
cartridge,trivia_qa,s600_lr0.0001_K128,cross_task_cross_domain,96,0.26,0.208,0.146,0.229,216,1112
cartridge,trivia_qa,s600_lr0.0001_K64,overall,384,0.172,0.172,0.233,0.28,112,766
cartridge,trivia_qa,s600_lr0.0001_K64,in_task,96,0.177,0.204,0.218,0.259,102,1017
cartridge,trivia_qa,s600_lr0.0001_K64,cross_task_in_domain,192,0.126,0.123,0.284,0.306,98,468
cartridge,trivia_qa,s600_lr0.0001_K64,cross_task_cross_domain,96,0.26,0.24,0.146,0.25,152,1112
cartridge,trivia_qa,s600_lr0.0003_K128,overall,384,0.172,0.161,0.233,0.276,176,766
cartridge,trivia_qa,s600_lr0.0003_K128,in_task,96,0.177,0.181,0.218,0.253,166,1017
cartridge,trivia_qa,s600_lr0.0003_K128,cross_task_in_domain,192,0.126,0.121,0.284,0.302,162,468
cartridge,trivia_qa,s600_lr0.0003_K128,cross_task_cross_domain,96,0.26,0.219,0.146,0.25,216,1112
cartridge,trivia_qa,s600_lr0.0003_K64,overall,384,0.173,0.157,0.232,0.277,112,766
cartridge,trivia_qa,s600_lr0.0003_K64,in_task,96,0.179,0.187,0.216,0.255,102,1017
cartridge,trivia_qa,s600_lr0.0003_K64,cross_task_in_domain,192,0.125,0.117,0.283,0.306,98,468
cartridge,trivia_qa,s600_lr0.0003_K64,cross_task_cross_domain,96,0.26,0.208,0.146,0.24,152,1112
gcm,hotpot_qa,N12_K128,overall,384,0.172,0.159,0.233,0.286,176,766
gcm,hotpot_qa,N12_K128,in_task,96,0.118,0.112,0.201,0.242,166,729
gcm,hotpot_qa,N12_K128,cross_task_in_domain,192,0.156,0.164,0.292,0.33,161,612
gcm,hotpot_qa,N12_K128,cross_task_cross_domain,96,0.26,0.198,0.146,0.24,216,1112
gcm,hotpot_qa,N12_K64,overall,384,0.172,0.186,0.233,0.302,112,766
gcm,hotpot_qa,N12_K64,in_task,96,0.118,0.151,0.201,0.265,102,729
gcm,hotpot_qa,N12_K64,cross_task_in_domain,192,0.156,0.181,0.292,0.342,97,612
gcm,hotpot_qa,N12_K64,cross_task_cross_domain,96,0.26,0.229,0.146,0.26,152,1112
gcm,hotpot_qa,N16_K128,overall,384,0.172,0.158,0.233,0.283,176,766
gcm,hotpot_qa,N16_K128,in_task,96,0.118,0.141,0.201,0.245,166,729
gcm,hotpot_qa,N16_K128,cross_task_in_domain,192,0.156,0.162,0.292,0.335,161,612
gcm,hotpot_qa,N16_K128,cross_task_cross_domain,96,0.26,0.167,0.146,0.219,216,1112
gcm,hotpot_qa,N16_K64,overall,384,0.172,0.192,0.233,0.306,112,766
gcm,hotpot_qa,N16_K64,in_task,96,0.118,0.159,0.201,0.274,102,729
gcm,hotpot_qa,N16_K64,cross_task_in_domain,192,0.156,0.175,0.292,0.34,97,612
gcm,hotpot_qa,N16_K64,cross_task_cross_domain,96,0.26,0.26,0.146,0.271,152,1112
gcm,hotpot_qa,N24_K128,overall,384,0.172,0.171,0.233,0.294,176,766
gcm,hotpot_qa,N24_K128,in_task,96,0.118,0.13,0.201,0.253,166,729
gcm,hotpot_qa,N24_K128,cross_task_in_domain,192,0.156,0.152,0.292,0.321,161,612
gcm,hotpot_qa,N24_K128,cross_task_cross_domain,96,0.26,0.25,0.146,0.281,216,1112
gcm,hotpot_qa,N24_K64,overall,384,0.173,0.193,0.232,0.302,112,766
gcm,hotpot_qa,N24_K64,in_task,96,0.118,0.165,0.2,0.265,102,729
gcm,hotpot_qa,N24_K64,cross_task_in_domain,192,0.156,0.189,0.291,0.341,97,612
gcm,hotpot_qa,N24_K64,cross_task_cross_domain,96,0.26,0.229,0.146,0.26,152,1112
gcm,hotpot_qa,N8_K128,overall,384,0.173,0.189,0.232,0.301,176,766
gcm,hotpot_qa,N8_K128,in_task,96,0.118,0.146,0.2,0.258,166,729
gcm,hotpot_qa,N8_K128,cross_task_in_domain,192,0.156,0.19,0.291,0.343,161,612
gcm,hotpot_qa,N8_K128,cross_task_cross_domain,96,0.26,0.229,0.146,0.26,216,1112
gcm,hotpot_qa,N8_K64,overall,384,0.172,0.149,0.233,0.288,112,766
gcm,hotpot_qa,N8_K64,in_task,96,0.118,0.105,0.201,0.23,102,729
gcm,hotpot_qa,N8_K64,cross_task_in_domain,192,0.156,0.125,0.292,0.311,97,612
gcm,hotpot_qa,N8_K64,cross_task_cross_domain,96,0.26,0.24,0.146,0.302,152,1112
gcm,quality,N12_K128,overall,384,0.172,0.09,0.233,0.277,176,766
gcm,quality,N12_K128,in_task,96,0.26,0.26,0.146,0.302,216,1112
gcm,quality,N12_K128,cross_task_cross_domain,288,0.143,0.033,0.262,0.268,163,651
gcm,quality,N12_K64,overall,384,0.172,0.147,0.233,0.275,112,766
gcm,quality,N12_K64,in_task,96,0.26,0.229,0.146,0.26,152,1112
gcm,quality,N12_K64,cross_task_cross_domain,288,0.143,0.119,0.262,0.28,99,651
gcm,quality,N16_K128,overall,384,0.173,0.061,0.232,0.264,176,766
gcm,quality,N16_K128,in_task,96,0.26,0.24,0.146,0.271,216,1112
