method,dataset,config,relation,n,no_ctx,compressed,fallback_full,best,cost_comp,cost_full
gist,hotpot_qa,s600_lr0.0001_K128,in_task,96,0.118,0.138,0.198,0.283,166,729
gist,hotpot_qa,s600_lr0.0001_K128,cross_task_in_domain,192,0.153,0.146,0.292,0.324,161,612
gist,hotpot_qa,s600_lr0.0001_K128,cross_task_cross_domain,96,0.26,0.229,0.146,0.292,216,1112
gist,hotpot_qa,s600_lr0.0001_K64,overall,384,0.171,0.184,0.232,0.326,112,766
gist,hotpot_qa,s600_lr0.0001_K64,in_task,96,0.118,0.196,0.198,0.342,102,729
gist,hotpot_qa,s600_lr0.0001_K64,cross_task_in_domain,192,0.153,0.151,0.292,0.34,97,612
gist,hotpot_qa,s600_lr0.0001_K64,cross_task_cross_domain,96,0.26,0.24,0.146,0.281,152,1112
gist,hotpot_qa,s600_lr0.0003_K128,overall,384,0.171,0.224,0.232,0.334,176,766
gist,hotpot_qa,s600_lr0.0003_K128,in_task,96,0.118,0.216,0.198,0.322,166,729
gist,hotpot_qa,s600_lr0.0003_K128,cross_task_in_domain,192,0.153,0.2,0.292,0.351,161,612
gist,hotpot_qa,s600_lr0.0003_K128,cross_task_cross_domain,96,0.26,0.281,0.146,0.312,216,1112
gist,hotpot_qa,s600_lr0.0003_K64,overall,384,0.173,0.185,0.231,0.322,112,766
gist,hotpot_qa,s600_lr0.0003_K64,in_task,96,0.116,0.221,0.198,0.349,102,729
gist,hotpot_qa,s600_lr0.0003_K64,cross_task_in_domain,192,0.152,0.145,0.29,0.34,97,612
gist,hotpot_qa,s600_lr0.0003_K64,cross_task_cross_domain,96,0.271,0.229,0.146,0.26,152,1112
gist,quality,s1500_lr0.0001_K128,overall,384,0.171,0.15,0.232,0.318,176,766
gist,quality,s1500_lr0.0001_K128,in_task,96,0.26,0.229,0.146,0.281,216,1112
gist,quality,s1500_lr0.0001_K128,cross_task_cross_domain,288,0.141,0.123,0.26,0.33,163,651
gist,quality,s1500_lr0.0001_K64,overall,384,0.171,0.131,0.232,0.298,112,766
gist,quality,s1500_lr0.0001_K64,in_task,96,0.26,0.24,0.146,0.281,152,1112
gist,quality,s1500_lr0.0001_K64,cross_task_cross_domain,288,0.141,0.095,0.26,0.303,99,651
gist,quality,s1500_lr0.0003_K128,overall,384,0.171,0.07,0.232,0.276,176,766
gist,quality,s1500_lr0.0003_K128,in_task,96,0.26,0.25,0.146,0.312,216,1112
gist,quality,s1500_lr0.0003_K128,cross_task_cross_domain,288,0.141,0.01,0.26,0.264,163,651
gist,quality,s1500_lr0.0003_K64,overall,384,0.173,0.091,0.231,0.283,112,766
gist,quality,s1500_lr0.0003_K64,in_task,96,0.271,0.24,0.146,0.292,152,1112
gist,quality,s1500_lr0.0003_K64,cross_task_cross_domain,288,0.14,0.042,0.26,0.28,99,651
gist,quality,s600_lr0.0001_K128,overall,384,0.173,0.162,0.231,0.329,176,766
gist,quality,s600_lr0.0001_K128,in_task,96,0.271,0.26,0.146,0.312,216,1112
gist,quality,s600_lr0.0001_K128,cross_task_cross_domain,288,0.14,0.13,0.26,0.335,163,651
gist,quality,s600_lr0.0001_K64,overall,384,0.171,0.111,0.232,0.289,112,766
gist,quality,s600_lr0.0001_K64,in_task,96,0.26,0.229,0.146,0.281,152,1112
gist,quality,s600_lr0.0001_K64,cross_task_cross_domain,288,0.141,0.071,0.26,0.291,99,651
gist,quality,s600_lr0.0003_K128,overall,384,0.171,0.082,0.232,0.285,176,766
gist,quality,s600_lr0.0003_K128,in_task,96,0.26,0.312,0.146,0.354,216,1112
gist,quality,s600_lr0.0003_K128,cross_task_cross_domain,288,0.141,0.006,0.26,0.262,163,651
gist,quality,s600_lr0.0003_K64,overall,384,0.171,0.12,0.232,0.294,112,766
gist,quality,s600_lr0.0003_K64,in_task,96,0.26,0.271,0.146,0.302,152,1112
gist,quality,s600_lr0.0003_K64,cross_task_cross_domain,288,0.141,0.07,0.26,0.292,99,651
gist,squad_v2,s1500_lr0.0001_K128,overall,384,0.171,0.151,0.232,0.3,176,766
gist,squad_v2,s1500_lr0.0001_K128,in_task,96,0.129,0.079,0.368,0.381,157,207
gist,squad_v2,s1500_lr0.0001_K128,cross_task_in_domain,192,0.148,0.159,0.206,0.278,166,873
gist,squad_v2,s1500_lr0.0001_K128,cross_task_cross_domain,96,0.26,0.208,0.146,0.26,216,1112
gist,squad_v2,s1500_lr0.0001_K64,overall,384,0.173,0.209,0.231,0.341,112,766
gist,squad_v2,s1500_lr0.0001_K64,in_task,96,0.133,0.125,0.366,0.405,93,207
gist,squad_v2,s1500_lr0.0001_K64,cross_task_in_domain,192,0.143,0.246,0.206,0.345,102,873
gist,squad_v2,s1500_lr0.0001_K64,cross_task_cross_domain,96,0.271,0.219,0.146,0.271,152,1112
gist,squad_v2,s1500_lr0.0003_K128,overall,384,0.171,0.124,0.232,0.27,176,766
gist,squad_v2,s1500_lr0.0003_K128,in_task,96,0.129,0.09,0.368,0.375,157,207
gist,squad_v2,s1500_lr0.0003_K128,cross_task_in_domain,192,0.148,0.099,0.206,0.232,166,873
gist,squad_v2,s1500_lr0.0003_K128,cross_task_cross_domain,96,0.26,0.208,0.146,0.24,216,1112
gist,squad_v2,s1500_lr0.0003_K64,overall,384,0.171,0.151,0.232,0.292,112,766
gist,squad_v2,s1500_lr0.0003_K64,in_task,96,0.129,0.114,0.368,0.392,93,207
gist,squad_v2,s1500_lr0.0003_K64,cross_task_in_domain,192,0.148,0.12,0.206,0.247,102,873
gist,squad_v2,s1500_lr0.0003_K64,cross_task_cross_domain,96,0.26,0.25,0.146,0.281,152,1112
gist,squad_v2,s600_lr0.0001_K128,overall,384,0.171,0.172,0.232,0.313,176,766
gist,squad_v2,s600_lr0.0001_K128,in_task,96,0.129,0.112,0.368,0.394,157,207
gist,squad_v2,s600_lr0.0001_K128,cross_task_in_domain,192,0.148,0.178,0.206,0.298,166,873
gist,squad_v2,s600_lr0.0001_K128,cross_task_cross_domain,96,0.26,0.219,0.146,0.26,216,1112
gist,squad_v2,s600_lr0.0001_K64,overall,384,0.171,0.191,0.232,0.328,112,766
gist,squad_v2,s600_lr0.0001_K64,in_task,96,0.129,0.157,0.368,0.421,93,207
gist,squad_v2,s600_lr0.0001_K64,cross_task_in_domain,192,0.148,0.178,0.206,0.309,102,873
gist,squad_v2,s600_lr0.0001_K64,cross_task_cross_domain,96,0.26,0.25,0.146,0.271,152,1112
gist,squad_v2,s600_lr0.0003_K128,overall,384,0.171,0.139,0.232,0.286,176,766
gist,squad_v2,s600_lr0.0003_K128,in_task,96,0.129,0.087,0.368,0.38,157,207
gist,squad_v2,s600_lr0.0003_K128,cross_task_in_domain,192,0.148,0.121,0.206,0.252,166,873
gist,squad_v2,s600_lr0.0003_K128,cross_task_cross_domain,96,0.26,0.229,0.146,0.26,216,1112
gist,squad_v2,s600_lr0.0003_K64,overall,384,0.171,0.153,0.232,0.298,112,766
gist,squad_v2,s600_lr0.0003_K64,in_task,96,0.129,0.077,0.368,0.375,93,207
gist,squad_v2,s600_lr0.0003_K64,cross_task_in_domain,192,0.148,0.132,0.206,0.258,102,873
gist,squad_v2,s600_lr0.0003_K64,cross_task_cross_domain,96,0.26,0.271,0.146,0.302,152,1112
gist,trivia_qa,s1500_lr0.0001_K128,overall,384,0.173,0.194,0.231,0.34,176,766
gist,trivia_qa,s1500_lr0.0001_K128,in_task,96,0.171,0.27,0.215,0.374,166,1017
gist,trivia_qa,s1500_lr0.0001_K128,cross_task_in_domain,192,0.125,0.133,0.282,0.348,162,468
gist,trivia_qa,s1500_lr0.0001_K128,cross_task_cross_domain,96,0.271,0.24,0.146,0.292,216,1112
gist,trivia_qa,s1500_lr0.0001_K64,overall,384,0.171,0.208,0.232,0.356,112,766
gist,trivia_qa,s1500_lr0.0001_K64,in_task,96,0.177,0.37,0.215,0.474,102,1017
gist,trivia_qa,s1500_lr0.0001_K64,cross_task_in_domain,192,0.124,0.121,0.283,0.34,98,468
gist,trivia_qa,s1500_lr0.0001_K64,cross_task_cross_domain,96,0.26,0.219,0.146,0.271,152,1112
gist,trivia_qa,s1500_lr0.0003_K128,overall,384,0.171,0.196,0.232,0.346,176,766
gist,trivia_qa,s1500_lr0.0003_K128,in_task,96,0.177,0.284,0.215,0.411,166,1017
gist,trivia_qa,s1500_lr0.0003_K128,cross_task_in_domain,192,0.124,0.13,0.283,0.351,162,468
gist,trivia_qa,s1500_lr0.0003_K128,cross_task_cross_domain,96,0.26,0.24,0.146,0.271,216,1112
gist,trivia_qa,s1500_lr0.0003_K64,overall,384,0.171,0.248,0.232,0.383,112,766
gist,trivia_qa,s1500_lr0.0003_K64,in_task,96,0.177,0.358,0.215,0.464,102,1017
gist,trivia_qa,s1500_lr0.0003_K64,cross_task_in_domain,192,0.124,0.172,0.283,0.372,98,468
gist,trivia_qa,s1500_lr0.0003_K64,cross_task_cross_domain,96,0.26,0.292,0.146,0.323,152,1112
gist,trivia_qa,s600_lr0.0001_K128,overall,384,0.171,0.183,0.232,0.332,176,766
gist,trivia_qa,s600_lr0.0001_K128,in_task,96,0.177,0.226,0.215,0.347,166,1017
gist,trivia_qa,s600_lr0.0001_K128,cross_task_in_domain,192,0.124,0.148,0.283,0.361,162,468
gist,trivia_qa,s600_lr0.0001_K128,cross_task_cross_domain,96,0.26,0.208,0.146,0.26,216,1112
gist,trivia_qa,s600_lr0.0001_K64,overall,384,0.173,0.179,0.231,0.329,112,766
gist,trivia_qa,s600_lr0.0001_K64,in_task,96,0.171,0.275,0.215,0.388,102,1017
gist,trivia_qa,s600_lr0.0001_K64,cross_task_in_domain,192,0.125,0.116,0.282,0.338,98,468
gist,trivia_qa,s600_lr0.0001_K64,cross_task_cross_domain,96,0.271,0.208,0.146,0.25,152,1112
gist,trivia_qa,s600_lr0.0003_K128,overall,384,0.171,0.193,0.232,0.344,176,766
gist,trivia_qa,s600_lr0.0003_K128,in_task,96,0.177,0.283,0.215,0.407,166,1017
gist,trivia_qa,s600_lr0.0003_K128,cross_task_in_domain,192,0.124,0.13,0.283,0.354,162,468
gist,trivia_qa,s600_lr0.0003_K128,cross_task_cross_domain,96,0.26,0.229,0.146,0.26,216,1112
gist,trivia_qa,s600_lr0.0003_K64,overall,384,0.171,0.231,0.232,0.369,112,766
gist,trivia_qa,s600_lr0.0003_K64,in_task,96,0.177,0.304,0.215,0.423,102,1017
gist,trivia_qa,s600_lr0.0003_K64,cross_task_in_domain,192,0.124,0.18,0.283,0.385,98,468
gist,trivia_qa,s600_lr0.0003_K64,cross_task_cross_domain,96,0.26,0.26,0.146,0.281,152,1112
