signal,angle,hotpot_qa,musr_mm,quality,ruler_niah,trivia_qa
ll_argmax_agree_final_l@36,agreement,0.0008,,0.0015,,-0.0617
ll_argmax_agree_final_l@4,agreement,,,,,
ll_argmax_agree_final_l@5,agreement,,,,,
ll_argmax_agree_final_l@6,agreement,,,,,
ll_argmax_agree_final_l@7,agreement,,,,,
ll_argmax_agree_final_l@8,agreement,,,,,
ll_argmax_agree_final_l@9,agreement,,,,,
ll_conf_w_l::early,confidence,0.0248,-0.0131,-0.0405,,-0.0228
ll_conf_w_l::late,confidence,0.1690,0.0166,-0.0216,,0.2659
ll_conf_w_l::max,confidence,0.1434,0.0080,-0.0558,,0.2646
ll_conf_w_l::mean,confidence,0.1966,0.0141,-0.0566,,0.2289
ll_conf_w_l::mid,confidence,0.1581,-0.0094,-0.0764,,-0.0757
ll_conf_w_l::min,confidence,0.0070,-0.0124,-0.1020,,-0.0168
ll_conf_w_l::slope,confidence,0.1650,0.0175,-0.0173,,0.2658
ll_conf_w_l@0,confidence,,,,,
ll_conf_w_l@1,confidence,0.0282,-0.0236,-0.0167,,0.0005
ll_conf_w_l@10,confidence,0.0335,0.0146,0.0149,,0.0253
ll_conf_w_l@11,confidence,0.0521,0.0112,0.0070,,0.0109
ll_conf_w_l@12,confidence,0.0116,0.0021,0.0118,,-0.0606
ll_conf_w_l@13,confidence,0.0094,0.0132,-0.0175,,0.0042
ll_conf_w_l@14,confidence,0.0597,0.0005,-0.0002,,-0.0310
ll_conf_w_l@15,confidence,-0.0449,0.0294,-0.0486,,-0.0079
ll_conf_w_l@16,confidence,0.0620,0.0028,-0.0521,,0.1186
ll_conf_w_l@17,confidence,0.0297,0.0154,-0.0019,,0.1474
ll_conf_w_l@18,confidence,0.0899,0.0096,-0.0033,,-0.0320
ll_conf_w_l@19,confidence,0.0874,-0.0144,-0.0649,,-0.0776
ll_conf_w_l@2,confidence,-0.0011,-0.0166,0.0373,,0.0005
ll_conf_w_l@20,confidence,-0.0094,-0.0138,-0.0363,,-0.0133
ll_conf_w_l@21,confidence,0.0691,-0.0041,-0.0740,,0.0085
